UNITID,MajorFieldsID,MajorFieldsDesc,GrandTotal,TotalMen,TotalWomen,AmericanIndianAlaskaNativeTotal,AmericanIndianAlaskaNativeMen,AmericanIndianAlaskaNativeWomen,AsianTotal,AsianMen,AsianWomen,AfricanAmericanTotal,AfricanAmericanMen,AfricanAmericanWomen,HispanicTotal,HispanicMen,HispanicWomen,PacificIslanderTotal,PacificIslanderMen,PacificIslanderWomen,WhiteTotal,WhiteMen,WhiteWomen,TwoOrMoreRacesTotal,TwoOrMoreRacesMen,TwoOrMoreRacesWomen,RaceUnknownTotal,RaceUnknownMen,RaceUnknownWomen,NonresidentAlienTotal,NonresidentAlienMen,NonresidentAlienWomen
101435,40,Physical Sciences,34,11,23,1,0,1,0,0,0,7,1,6,1,0,1,0,0,0,24,10,14,0,0,0,1,0,1,0,0,0
101435,52,Business Management and Administrative Services,386,171,215,5,1,4,1,0,1,103,33,70,17,9,8,1,1,0,216,118,98,17,4,13,25,5,20,1,0,1
101480,13,Education,519,74,445,6,0,6,1,0,1,79,26,53,3,0,3,0,0,0,418,48,370,0,0,0,8,0,8,4,0,4
101480,26,Biological Sciences/LifeSciences,360,125,235,1,0,1,4,2,2,66,17,49,6,3,3,0,0,0,260,98,162,0,0,0,14,3,11,9,2,7
101480,27,Mathematics,78,37,41,2,1,1,0,0,0,4,1,3,3,1,2,0,0,0,65,33,32,0,0,0,2,1,1,2,0,2
101480,40,Physical Sciences,59,26,33,1,0,1,0,0,0,7,2,5,1,0,1,0,0,0,44,21,23,0,0,0,5,3,2,1,0,1
101480,52,Business Management and Administrative Services,903,502,401,4,2,2,7,4,3,155,88,67,18,11,7,0,0,0,647,355,292,0,0,0,24,10,14,48,32,16
101541,13,Education,30,0,30,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,27,0,27,0,0,0,0,0,0,0,0,0
101541,26,Biological Sciences/LifeSciences,40,0,40,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,32,0,32,0,0,0,1,0,1,0,0,0
101541,27,Mathematics,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
101541,40,Physical Sciences,11,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0
101541,52,Business Management and Administrative Services,17,0,17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0
101587,13,Education,297,103,194,1,0,1,0,0,0,136,55,81,11,4,7,0,0,0,128,34,94,3,1,2,11,6,5,7,3,4
101587,26,Biological Sciences/LifeSciences,146,56,90,0,0,0,0,0,0,47,16,31,7,4,3,0,0,0,78,32,46,5,1,4,7,2,5,2,1,1
101587,27,Mathematics,54,34,20,1,1,0,0,0,0,19,8,11,0,0,0,0,0,0,24,18,6,3,2,1,2,2,0,5,3,2
101587,40,Physical Sciences,32,8,24,0,0,0,0,0,0,9,1,8,0,0,0,0,0,0,19,6,13,3,1,2,0,0,0,1,0,1
101587,52,Business Management and Administrative Services,382,210,172,2,2,0,0,0,0,117,54,63,5,3,2,0,0,0,157,88,69,5,2,3,15,9,6,81,52,29
101675,13,Education,154,69,85,0,0,0,0,0,0,148,66,82,1,1,0,0,0,0,4,2,2,1,0,1,0,0,0,0,0,0
101675,26,Biological Sciences/LifeSciences,157,50,107,0,0,0,0,0,0,152,46,106,2,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
101675,27,Mathematics,13,8,5,0,0,0,0,0,0,12,8,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
101675,40,Physical Sciences,10,4,6,0,0,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101675,52,Business Management and Administrative Services,330,193,137,0,0,0,1,1,0,321,184,137,0,0,0,0,0,0,7,7,0,0,0,0,1,1,0,0,0,0
101693,13,Education,191,41,150,2,0,2,3,2,1,19,3,16,2,0,2,0,0,0,141,31,110,3,0,3,20,5,15,1,0,1
101693,26,Biological Sciences/LifeSciences,70,23,47,0,0,0,2,1,1,10,3,7,2,1,1,0,0,0,35,9,26,3,1,2,15,8,7,3,0,3
101693,27,Mathematics,23,19,4,0,0,0,0,0,0,7,5,2,0,0,0,0,0,0,12,11,1,0,0,0,3,3,0,1,0,1
101693,52,Business Management and Administrative Services,226,110,116,3,0,3,2,0,2,50,18,32,2,0,2,0,0,0,112,53,59,4,3,1,21,11,10,32,25,7
101709,13,Education,260,16,244,1,0,1,4,0,4,26,2,24,8,1,7,0,0,0,200,0,200,14,12,2,7,1,6,0,0,0
101709,26,Biological Sciences/LifeSciences,128,40,88,1,0,1,3,1,2,15,3,12,11,6,5,0,0,0,86,27,59,4,1,3,4,1,3,4,1,3
101709,27,Mathematics,63,41,22,0,0,0,0,0,0,8,8,0,5,3,2,0,0,0,45,29,16,2,0,2,2,1,1,1,0,1
101709,40,Physical Sciences,57,28,29,1,0,1,0,0,0,7,2,5,4,2,2,0,0,0,40,20,20,2,2,0,3,2,1,0,0,0
101709,52,Business Management and Administrative Services,295,157,138,0,0,0,1,1,0,47,17,30,17,6,11,0,0,0,203,115,88,4,3,1,11,8,3,12,7,5
101879,13,Education,709,192,517,10,2,8,2,0,2,60,19,41,22,6,16,0,0,0,585,155,430,13,3,10,15,7,8,2,0,2
101879,26,Biological Sciences/LifeSciences,317,117,200,1,1,0,8,3,5,41,13,28,9,4,5,0,0,0,229,83,146,13,4,9,13,7,6,3,2,1
101879,27,Mathematics,56,38,18,0,0,0,0,0,0,8,5,3,2,2,0,0,0,0,41,28,13,2,1,1,3,2,1,0,0,0
101879,40,Physical Sciences,162,84,78,5,3,2,1,0,1,11,1,10,9,5,4,0,0,0,121,67,54,4,2,2,5,2,3,6,4,2
101879,52,Business Management and Administrative Services,958,585,373,10,7,3,4,2,2,137,88,49,23,18,5,1,1,0,644,387,257,25,16,9,29,13,16,85,53,32
101912,13,Education,85,18,67,0,0,0,0,0,0,75,16,59,1,1,0,0,0,0,2,0,2,0,0,0,2,0,2,5,1,4
101912,26,Biological Sciences/LifeSciences,252,80,172,0,0,0,1,0,1,223,72,151,6,2,4,1,1,0,0,0,0,0,0,0,2,1,1,19,4,15
101912,27,Mathematics,54,37,17,0,0,0,0,0,0,48,32,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1
101912,40,Physical Sciences,10,4,6,0,0,0,0,0,0,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101912,52,Business Management and Administrative Services,228,122,106,2,2,0,0,0,0,182,108,74,5,1,4,0,0,0,2,1,1,0,0,0,19,2,17,18,8,10
102049,13,Education,195,12,183,1,0,1,3,1,2,2,1,1,5,0,5,0,0,0,181,10,171,2,0,2,0,0,0,1,0,1
102049,14,Engineering,24,19,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17,12,5,0,0,0,0,0,0,6,6,0
102049,26,Biological Sciences/LifeSciences,121,42,79,1,0,1,2,1,1,8,0,8,5,1,4,0,0,0,100,37,63,1,0,1,2,2,0,2,1,1
102049,27,Mathematics,22,8,14,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,19,6,13,0,0,0,0,0,0,1,1,0
102049,40,Physical Sciences,13,10,3,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,10,7,3,1,1,0,0,0,0,0,0,0
102049,52,Business Management and Administrative Services,657,429,228,1,0,1,5,5,0,25,21,4,26,19,7,0,0,0,545,351,194,11,6,5,4,3,1,40,24,16
102094,13,Education,1060,284,776,9,3,6,15,6,9,263,93,170,28,6,22,1,1,0,699,161,538,19,8,11,17,5,12,9,1,8
102094,14,Engineering,1983,1747,236,9,5,4,51,44,7,201,173,28,48,43,5,2,0,2,860,716,144,37,23,14,33,25,8,742,718,24
102094,26,Biological Sciences/LifeSciences,1135,421,714,6,1,5,87,39,48,251,72,179,41,17,24,2,2,0,663,259,404,51,15,36,19,8,11,15,8,7
102094,27,Mathematics,69,37,32,1,0,1,1,1,0,16,9,7,3,1,2,0,0,0,42,24,18,3,1,2,1,0,1,2,1,1
102094,40,Physical Sciences,231,110,121,1,0,1,6,2,4,32,11,21,8,2,6,1,1,0,159,77,82,9,4,5,5,4,1,10,9,1
102094,52,Business Management and Administrative Services,1422,750,672,9,6,3,46,21,25,283,130,153,38,15,23,2,1,1,862,456,406,35,18,17,28,12,16,119,91,28
102234,13,Education,104,15,89,0,0,0,1,0,1,9,0,9,3,0,3,1,1,0,78,13,65,5,1,4,5,0,5,2,0,2
102234,14,Engineering,31,24,7,0,0,0,2,1,1,9,5,4,0,0,0,0,0,0,18,16,2,0,0,0,1,1,0,1,1,0
102234,26,Biological Sciences/LifeSciences,216,70,146,0,0,0,6,1,5,37,10,27,8,6,2,1,1,0,135,42,93,13,3,10,10,5,5,6,2,4
102234,27,Mathematics,21,14,7,1,0,1,0,0,0,3,2,1,2,1,1,0,0,0,9,6,3,0,0,0,2,2,0,4,3,1
102234,40,Physical Sciences,19,9,10,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,13,6,7,1,0,1,1,0,1,1,0,1
102234,52,Business Management and Administrative Services,273,163,110,3,2,1,3,0,3,31,13,18,13,9,4,1,1,0,186,114,72,9,3,6,11,7,4,16,14,2
102261,52,Business Management and Administrative Services,5,4,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
102270,13,Education,93,49,44,0,0,0,0,0,0,87,47,40,1,1,0,0,0,0,5,1,4,0,0,0,0,0,0,0,0,0
102270,26,Biological Sciences/LifeSciences,140,26,114,0,0,0,1,0,1,134,26,108,1,0,1,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
102270,27,Mathematics,16,12,4,0,0,0,0,0,0,15,11,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102270,52,Business Management and Administrative Services,102,53,49,0,0,0,0,0,0,93,44,49,2,2,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
102298,13,Education,39,18,21,0,0,0,0,0,0,33,17,16,0,0,0,0,0,0,3,0,3,2,0,2,1,1,0,0,0,0
102298,26,Biological Sciences/LifeSciences,59,17,42,0,0,0,0,0,0,49,14,35,5,1,4,0,0,0,1,1,0,3,1,2,1,0,1,0,0,0
102298,27,Mathematics,10,5,5,0,0,0,0,0,0,8,5,3,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
102298,40,Physical Sciences,9,7,2,0,0,0,0,0,0,6,4,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
102298,52,Business Management and Administrative Services,169,103,66,0,0,0,0,0,0,139,80,59,6,5,1,0,0,0,2,1,1,6,4,2,2,2,0,14,11,3
102368,13,Education,1147,323,824,7,3,4,4,1,3,213,60,153,23,5,18,1,0,1,829,233,596,33,10,23,33,9,24,4,2,2
102368,26,Biological Sciences/LifeSciences,634,235,399,6,5,1,12,9,3,104,24,80,23,4,19,0,0,0,387,147,240,23,13,10,21,9,12,58,24,34
102368,27,Mathematics,84,38,46,0,0,0,1,0,1,9,5,4,0,0,0,1,0,1,59,26,33,4,1,3,2,0,2,8,6,2
102368,40,Physical Sciences,99,66,33,0,0,0,0,0,0,6,3,3,1,0,1,1,1,0,55,33,22,2,1,1,5,3,2,29,25,4
102368,52,Business Management and Administrative Services,2857,1384,1473,16,6,10,35,19,16,824,328,496,101,60,41,7,6,1,1432,740,692,76,35,41,113,57,56,253,133,120
102377,13,Education,44,16,28,0,0,0,0,0,0,38,10,28,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0
102377,14,Engineering,610,346,264,0,0,0,13,13,0,578,324,254,2,0,2,0,0,0,0,0,0,0,0,0,17,9,8,0,0,0
102377,26,Biological Sciences/LifeSciences,240,80,160,0,0,0,0,0,0,217,71,146,1,1,0,0,0,0,0,0,0,0,0,0,22,8,14,0,0,0
102377,27,Mathematics,8,6,2,0,0,0,0,0,0,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102377,40,Physical Sciences,9,7,2,0,0,0,2,2,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102377,52,Business Management and Administrative Services,359,204,155,0,0,0,0,0,0,349,200,149,0,0,0,0,0,0,0,0,0,0,0,0,10,4,6,0,0,0
102395,13,Education,14,12,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,10,8,2,0,0,0,2,2,0,0,0,0
102553,13,Education,492,74,418,36,3,33,35,7,28,13,4,9,42,6,36,1,0,1,292,46,246,57,5,52,12,2,10,4,1,3
102553,14,Engineering,824,651,173,53,38,15,76,57,19,18,15,3,62,44,18,7,4,3,469,383,86,100,76,24,21,19,2,18,15,3
102553,26,Biological Sciences/LifeSciences,470,203,267,15,5,10,42,15,27,14,4,10,38,16,22,1,0,1,279,127,152,59,23,36,16,10,6,6,3,3
102553,27,Mathematics,72,40,32,7,2,5,9,6,3,0,0,0,6,5,1,0,0,0,37,21,16,9,4,5,2,1,1,2,1,1
102553,40,Physical Sciences,107,74,33,2,2,0,4,3,1,2,2,0,8,4,4,0,0,0,72,53,19,15,7,8,2,1,1,2,2,0
102553,52,Business Management and Administrative Services,1728,819,909,133,46,87,206,87,119,60,32,28,138,70,68,19,7,12,869,430,439,189,81,108,51,28,23,63,38,25
102614,13,Education,333,70,263,103,15,88,3,2,1,7,1,6,20,6,14,1,0,1,114,33,81,11,1,10,72,11,61,2,1,1
102614,14,Engineering,719,593,126,39,32,7,12,9,3,7,7,0,49,43,6,3,2,1,355,289,66,40,27,13,198,168,30,16,16,0
102614,26,Biological Sciences/LifeSciences,367,104,263,24,7,17,8,3,5,6,4,2,28,7,21,0,0,0,180,45,135,16,4,12,101,33,68,4,1,3
102614,27,Mathematics,33,18,15,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,19,10,9,3,0,3,8,5,3,0,0,0
102614,40,Physical Sciences,170,108,62,14,8,6,3,1,2,2,2,0,15,8,7,1,0,1,93,62,31,5,2,3,36,24,12,1,1,0
102614,52,Business Management and Administrative Services,627,235,392,84,18,66,6,3,3,13,7,6,29,11,18,7,2,5,270,101,169,37,13,24,163,65,98,18,15,3
102632,13,Education,87,16,71,11,1,10,3,1,2,0,0,0,6,1,5,0,0,0,43,10,33,5,1,4,19,2,17,0,0,0
102632,26,Biological Sciences/LifeSciences,86,26,60,7,3,4,5,0,5,1,0,1,5,3,2,0,0,0,48,16,32,3,0,3,17,4,13,0,0,0
102632,27,Mathematics,15,12,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,6,1,3,2,1,2,2,0,0,0,0
102632,52,Business Management and Administrative Services,384,97,287,51,6,45,21,6,15,8,3,5,25,6,19,6,1,5,173,44,129,27,8,19,72,23,49,1,0,1
102669,13,Education,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
102669,26,Biological Sciences/LifeSciences,26,7,19,2,0,2,1,0,1,0,0,0,1,0,1,0,0,0,18,6,12,4,1,3,0,0,0,0,0,0
102669,40,Physical Sciences,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
102669,52,Business Management and Administrative Services,70,26,44,26,9,17,0,0,0,3,1,2,1,0,1,2,0,2,27,12,15,7,2,5,4,2,2,0,0,0
102845,52,Business Management and Administrative Services,216,49,167,27,4,23,1,0,1,14,5,9,38,9,29,16,3,13,88,24,64,10,1,9,22,3,19,0,0,0
103945,52,Business Management and Administrative Services,12,1,11,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,1,0,0,0,0,0,0
104090,52,Business Management and Administrative Services,68,28,40,1,0,1,0,0,0,12,5,7,18,8,10,1,1,0,32,12,20,3,2,1,1,0,1,0,0,0
104151,13,Education,1671,355,1316,34,6,28,64,15,49,69,19,50,438,94,344,5,0,5,945,201,744,63,11,52,8,3,5,45,6,39
104151,14,Engineering,6935,5517,1418,75,51,24,607,429,178,157,116,41,1250,929,321,13,7,6,3198,2559,639,243,172,71,60,46,14,1332,1208,124
104151,26,Biological Sciences/LifeSciences,3928,1666,2262,44,11,33,507,212,295,194,72,122,866,357,509,7,4,3,1975,876,1099,183,66,117,26,13,13,126,55,71
104151,27,Mathematics,633,444,189,11,5,6,55,38,17,16,10,6,104,65,39,2,0,2,272,197,75,23,12,11,2,1,1,148,116,32
